landmark,risk_set_n,events,C_index,C_index_lower,C_index_upper,iAUC,iAUC_lower,iAUC_upper,IBS,IBS_lower,IBS_upper,grouped_ICI,grouped_ICI_lower,grouped_ICI_upper
0,21795,756,0.810347648886677,0.7957236824185177,0.8251624172245287,0.8453118436480666,0.830922861909351,0.8593988548767512,0.021426295129913724,0.019966183836947912,0.022880421484116654,0.01805527802380727,0.014814776934961206,0.02163324167629751
1,19554,684,0.827045303610904,0.8115554808052978,0.8426405734985829,0.870824295922757,0.8567532698847807,0.8859412663490428,0.02043674588139301,0.018936350621480965,0.021971924581842543,0.01915885382406815,0.015929996002495627,0.023072562730718966
2,17496,616,0.829430897184793,0.8118062987078705,0.8455690087439054,0.8688870451803272,0.8528598800718201,0.8833742939884496,0.019794043640701676,0.01824478407176451,0.02125235338281953,0.019069323580983913,0.01582472982232553,0.02369840677201386
3,15663,594,0.821721817784095,0.8042542884767601,0.8392081122837965,0.8599672737208719,0.8409461220302792,0.8778215588973525,0.021509647514361695,0.0197631303492097,0.0231707117270335,0.020900216984387876,0.016421525652408182,0.02606080683168127
4,13714,537,0.8172713046102824,0.7994624969459626,0.8365847219205851,0.8479164278977241,0.8285128244253871,0.8686119028473032,0.023018602003984104,0.021208336993926314,0.024950479076072292,0.021199069423388582,0.016782216248877404,0.027121168333916996
5,11900,502,0.8215829145953432,0.8024600058036455,0.8400113779577065,0.8505097444312532,0.8308516012443603,0.8700414666503465,0.026479857453474316,0.024410841740399224,0.028674002760354256,0.021537865410978966,0.016332482835448466,0.028708805530516347
Six-landmark mean,,,0.8212333144453491,0.8094605699491092,0.8339121779020559,0.8572361051335,0.8464844036925916,0.8680059484228979,0.02211086527063809,0.020904878344316577,0.023336493687518587,0.01998676787460246,0.017503139481290966,0.023617391586938166
